,inst,year,tempo,tones
325,4,1956,114.7,157
326,4,1954,127.7,458
333,4,1959,295.4,378
334,4,1960,155.4,270
335,1,1959,255.8,608
336,1,1959,236.0,668
337,1,1959,232.6,677
338,1,1959,125.7,430
339,1,1959,201.3,474
345,1,1964,232.7,203
346,1,1964,235.9,102
347,1,1963,199.9,577
348,1,1959,117.1,343
349,1,1964,191.6,253
350,1,1964,150.8,292
351,1,1964,152.7,127
352,1,1964,142.1,272
358,1,1955,218.0,712
359,1,1961,241.5,200
360,1,1961,236.2,183
361,1,1961,233.3,239
362,1,1955,242.6,847
363,1,1955,138.9,621
366,4,1938,107.0,313
367,4,1950,149.8,115
368,4,1944,361.3,275
369,4,1943,231.3,418
370,4,1943,237.7,305
371,4,1950,243.6,322
377,2,1954,242.6,552
378,2,1956,134.6,353
379,2,1956,137.6,135
380,2,1956,133.3,178
381,2,1956,294.0,461
382,2,1972,155.2,266
383,2,1972,159.4,164
384,2,1956,207.0,435
385,2,1956,224.1,366
386,2,1956,175.6,507
387,2,1972,192.6,601
388,2,1972,197.2,949
389,2,1956,114.4,432
390,2,1949,60.7,353
391,1,1946,185.8,127
392,1,1948,67.7,469
393,2,1949,192.7,226
394,1,1946,173.4,235
395,2,1949,167.9,349
396,2,1957,242.5,905
397,2,1964,63.4,571
398,2,1957,287.9,1233
399,2,1957,67.0,187
400,2,1963,128.2,155
401,2,1957,130.7,654
402,1,1990,144.8,129
403,1,1990,145.9,78
405,1,1991,104.9,325
406,1,1989,103.9,477
407,1,1988,240.0,983
408,1,1991,131.6,262
409,1,1988,240.0,1004
410,1,1989,97.7,551
411,1,1989,104.0,764
421,2,1991,105.9,461
422,2,1949,258.2,196
423,2,1949,269.9,370
424,2,1949,175.1,109
425,2,1966,174.4,351
426,2,1966,277.4,418
427,2,1961,147.1,273
428,2,1964,284.5,360
429,2,1964,138.4,375
430,2,1966,136.1,440
431,2,1964,51.3,157
432,2,1964,178.2,730
433,2,1966,267.1,259
434,2,1964,142.7,452
435,4,1987,114.7,406
436,4,1987,252.3,306
437,4,1987,60.1,349
439,4,1977,297.8,347
440,4,1977,171.7,465
442,4,1987,205.5,296
443,4,1986,153.7,495
444,4,1986,196.6,526
445,4,1986,338.0,679
446,4,1986,340.3,655
447,4,1991,245.4,292
448,4,1991,221.3,261
449,4,1990,137.6,162
450,2,1950,192.2,176
451,2,1950,124.7,110
452,2,1950,122.1,169
453,2,1950,151.1,103
454,2,1950,216.7,359
455,2,1950,217.6,219
