"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"65","Charlie Parker","Star Eyes","as","Bebop","1950","133.8",314,"Score","JazzTube","as"
"66","Charlie Parker","Steeplechase","as","Bebop","1948","175.2",228,"Score","JazzTube","as"
"67","Charlie Parker","Thriving on a Riff","as","Bebop","1945","227.2",357,"Score","JazzTube","as"
"68","Charlie Parker","Yardbird Suite","as","Bebop","1946","209.8",192,"Score","JazzTube","as"
"69","Charlie Shavers","Limehouse Blues","tp","Traditional","1941","269.1",145,"Score","JazzTube","tp"
"70","Chet Baker","I Fall in Love Too Easily","tp","Cool","1954","65.2",129,"Score","JazzTube","tp"
"71","Chet Baker","Just Friends","tp","Cool","1955","189.9",191,"Score","JazzTube","tp"
"72","Chet Baker","Let’s Get Lost","tp","Cool","1955","157.5",142,"Score","JazzTube","tp"
"73","Chet Baker","Long Ago and Far Away","tp","Cool","1955","177.5",171,"Score","JazzTube","tp"
"74","Chet Baker","There Will Never Be Another You","tp","Cool","1954","168.7",190,"Score","JazzTube","tp"
"75","Chet Baker","There Will Never Be Another You (2)","tp","Cool","1954","169.8",121,"Score","JazzTube","tp"
"76","Chet Baker","Two’s Blues","tp","Cool","1975","202.2",173,"Score","JazzTube","tp"
"77","Chet Baker","You’d Be So Nice to Come Home to","tp","Cool","1975","225.4",311,"Score","JazzTube","tp"
"78","Chris Potter","Anthropology","ts","Postbop","1999","245.3",687,"Score","JazzTube","ts"
"79","Chris Potter","Arjuna","ts","Fusion","2007","117.7",1318,"Score","JazzTube","ts"
"80","Chris Potter","In a Sentimental Mood","ts","Postbop","1993","48.6",413,"Score","JazzTube","ts"
"81","Chris Potter","Item 1, D.I.T.","ts","Postbop","2001","301.0",1631,"Score","JazzTube","ts"
"82","Chris Potter","Pop Tune #1","ts","Fusion","2007","108.6",1353,"Score","JazzTube","ts"
"83","Chris Potter","Rumples","ts","Fusion","2009","134.9",821,"Score","JazzTube","ts"
"84","Chris Potter","Togo","ts","Fusion","2007","112.0",933,"Score","JazzTube","ts"
"85","Chu Berry","Body and Soul","ts","Swing","1938","81.9",251,"Score","JazzTube","ts"
"86","Chu Berry","Body and Soul (2)","ts","Swing","1938","92.5",122,"Score","JazzTube","ts"
"87","Clifford Brown","A Night in Tunisia","tp","Hardbop","1954","189.7",624,"Score","JazzTube","tp"
"88","Clifford Brown","Daahoud","tp","Hardbop","1954","240.9",398,"Score","JazzTube","tp"
"89","Clifford Brown","George’s Dilemma","tp","Hardbop","1955","154.8",429,"Score","JazzTube","tp"
"90","Clifford Brown","I’ll Remember April (Alternate Take 2)","tp","Hardbop","1956","291.5",573,"Score","JazzTube","tp"
"91","Clifford Brown","I’ll Remember April","tp","Hardbop","1956","285.4",590,"Score","JazzTube","tp"
"92","Clifford Brown","Jordu","tp","Hardbop","1954","139.0",552,"Score","JazzTube","tp"
"93","Clifford Brown","Joy Spring","tp","Hardbop","1954","161.0",455,"Score","JazzTube","tp"
"94","Clifford Brown","Sandu","tp","Hardbop","1955","139.5",201,"Score","JazzTube","tp"
"95","Clifford Brown","Stompin’ at the Savoy","tp","Hardbop","1954","163.9",410,"Score","JazzTube","tp"
"96","Coleman Hawkins","Body and Soul","ts","Swing","1939","95.0",635,"Score","JazzTube","ts"
"97","Coleman Hawkins","It’s Only a Papermoon","ts","Swing","1949","133.7",257,"Score","JazzTube","ts"
"98","Coleman Hawkins","My Blue Heaven","ts","Swing","1950","132.0",207,"Score","JazzTube","ts"
"99","Coleman Hawkins","Perdido","ts","Swing","1950","177.5",468,"Score","JazzTube","ts"
