"#","Performer","Title","Inst.","Style","Year","Tempo","Tones","NA","NA","Inst"
"277","Lee Morgan","Totem Pole","tp","Postbop","1963","138.4",410,"Score","JazzTube","tp"
"278","Lester Young","After Theatre Jump","ts","Swing","1944","176.0",305,"Score","JazzTube","ts"
"279","Lester Young","Body and Soul","ts","Swing","1942","79.2",238,"Score","JazzTube","ts"
"280","Lester Young","D.B. Blues","ts","Swing","1945","151.1",221,"Score","JazzTube","ts"
"281","Lester Young","Destination K.C.","ts","Swing","1944","246.0",257,"Score","JazzTube","ts"
"282","Lester Young","Dickie’s Dream","ts","Swing","1939","229.3",157,"Score","JazzTube","ts"
"283","Lester Young","Lester Leaps In","ts","Swing","1939","251.4",299,"Score","JazzTube","ts"
"284","Lester Young","Six Cats and a Prince","ts","Swing","1944","220.1",310,"Score","JazzTube","ts"
"285","Lionel Hampton","Avalon","vib","Swing","1937","241.0",151,"Score","JazzTube","vib"
"286","Lionel Hampton","Dinah","vib","Swing","1939","199.5",311,"Score","JazzTube","vib"
"287","Lionel Hampton","High Society","vib","Swing","1939","245.1",170,"Score","JazzTube","vib"
"288","Lionel Hampton","Memories of You","vib","Swing","1939","81.8",378,"Score","JazzTube","vib"
"289","Lionel Hampton","Runnin’ Wild","vib","Swing","1937","281.1",164,"Score","JazzTube","vib"
"290","Lionel Hampton","Whispering","vib","Swing","1936","99.5",152,"Score","JazzTube","vib"
"291","Louis Armstrong","Basin Street Blues","tp","Traditional","1928","107.2",219,"Score","JazzTube","tp"
"292","Louis Armstrong","Big Butter and Egg Man","cor","Traditional","1926","196.7",173,"Score","JazzTube","cor"
"293","Louis Armstrong","Cornet Chop Suey","cor","Traditional","1926","192.2",92,"Score","JazzTube","cor"
"294","Louis Armstrong","Got No Blues","cor","Traditional","1927","142.8",192,"Score","JazzTube","cor"
"295","Louis Armstrong","Gut Bucket Blues","cor","Traditional","1925","146.0",48,"Score","JazzTube","cor"
"296","Louis Armstrong","Muskrat Ramble","cor","Traditional","1926","183.7",81,"Score","JazzTube","cor"
"297","Louis Armstrong","Once in a While","cor","Traditional","1927","197.7",193,"Score","JazzTube","cor"
"298","Louis Armstrong","Savoy Blues","cor","Traditional","1927","129.3",159,"Score","JazzTube","cor"
"299","Michael Brecker","Cabin Fever","ts","Postbop","1996","299.9",1122,"Score","JazzTube","ts"
"300","Michael Brecker","Confirmation","ts","Postbop","1981","208.9",1640,"Score","JazzTube","ts"
"301","Michael Brecker","Delta City Blues","ts","Postbop","1998","281.7",521,"Score","JazzTube","ts"
"302","Michael Brecker","I Mean You","ts","Postbop","1995","180.0",551,"Score","JazzTube","ts"
"303","Michael Brecker","Midnight Voyage","ts","Postbop","1996","125.6",589,"Score","JazzTube","ts"
"304","Michael Brecker","Naked Soul","ts","Postbop","1996","92.4",771,"Score","JazzTube","ts"
"305","Michael Brecker","Never Alone","ts","Postbop","1990","48.8",323,"Score","JazzTube","ts"
"306","Michael Brecker","Nothing Personal","ts","Postbop","1987","243.8",672,"Score","JazzTube","ts"
"307","Michael Brecker","Peep","ts","Postbop","1990","319.7",1010,"Score","JazzTube","ts"
"308","Michael Brecker","Song for Bilbao","ts","Postbop","1996","184.1",402,"Score","JazzTube","ts"
"309","Miles Davis","Agitation","tp","Postbop","1965","252.8",432,"Score","JazzTube","tp"
"310","Miles Davis","Airegin","tp","Hardbop","1954","241.3",431,"Score","JazzTube","tp"
"311","Miles Davis","Bitches Brew","tp","Fusion","1969","97.5",261,"Score","JazzTube","tp"
"312","Miles Davis","Bitches Brew (2)","tp","Fusion","1969","99.6",303,"Score","JazzTube","tp"
"313","Miles Davis","Blues by Five","tp","Hardbop","1956","177.9",371,"Score","JazzTube","tp"
"314","Miles Davis","Dolores","tp","Postbop","1966","274.6",464,"Score","JazzTube","tp"
"315","Miles Davis","E.S.P.","tp","Postbop","1964","291.4",865,"Score","JazzTube","tp"
"316","Miles Davis","Eighty-One","tp","Postbop","1964","138.3",373,"Score","JazzTube","tp"
"317","Miles Davis","K.C. Blues","tp","Bebop","1951","120.1",116,"Score","JazzTube","tp"
"318","Miles Davis","Miles Runs the Voodoo Down","tp","Fusion","1969","118.3",525,"Score","JazzTube","tp"
"319","Miles Davis","Miles Runs the Voodoo Down (2)","tp","Fusion","1969","117.9",297,"Score","JazzTube","tp"
"320","Miles Davis","Oleo","tp","Hardbop","1956","271.1",224,"Score","JazzTube","tp"
"321","Miles Davis","Oleo (2)","tp","Hardbop","1956","268.0",223,"Score","JazzTube","tp"
"322","Miles Davis","Orbits","tp","Postbop","1966","264.3",342,"Score","JazzTube","tp"
"323","Miles Davis","So What","tp","Postbop","1959","138.5",221,"Score","JazzTube","tp"
"324","Miles Davis","Trane’s Blues","tp","Hardbop","1956","164.0",262,"Score","JazzTube","tp"
"325","Miles Davis","Tune Up","tp","Hardbop","1953","281.5",409,"Score","JazzTube","tp"
"326","Miles Davis","Vierd Blues","tp","Hardbop","1956","114.7",157,"Score","JazzTube","tp"
"327","Miles Davis","Walkin’","tp","Hardbop","1954","127.7",458,"Score","JazzTube","tp"
"328","Milt Jackson","All the Things You Are","vib","Cool","1952","166.9",277,"Score","JazzTube","vib"
"329","Milt Jackson","Bag’s Groove","vib","Bebop","1952","175.1",198,"Score","JazzTube","vib"
"330","Milt Jackson","Bemsha Swing","vib","Cool","1954","152.3",548,"Score","JazzTube","vib"
"331","Milt Jackson","Don’t Get Around Much Anymore","vib","Bebop","1952","182.6",244,"Score","JazzTube","vib"
"332","Milt Jackson","Softly as in a Morning Sunrise","vib","Cool","1955","137.3",844,"Score","JazzTube","vib"
"333","Milt Jackson","What’s New","vib","Bebop","1952","71.5",191,"Score","JazzTube","vib"
"334","Nat Adderley","Bohemia After Dark","tp","Hardbop","1959","295.4",378,"Score","JazzTube","tp"
"335","Nat Adderley","Work Song","tp","Hardbop","1960","155.4",270,"Score","JazzTube","tp"
"336","Ornette Coleman","Bird Food","as","Free","1959","255.8",608,"Score","JazzTube","as"
"337","Ornette Coleman","Chronology","as","Free","1959","236.0",668,"Score","JazzTube","as"
"338","Ornette Coleman","Congeniality","as","Free","1959","232.6",677,"Score","JazzTube","as"
"339","Ornette Coleman","Peace","as","Free","1959","125.7",430,"Score","JazzTube","as"
"340","Ornette Coleman","Ramblin’","as","Free","1959","201.3",474,"Score","JazzTube","as"
"341","Pat Martino","Along Came Betty","g","Postbop","1974","132.7",851,"Score","JazzTube","g"
"342","Pat Metheny","All the Things You Are","g","Postbop","1989","306.7",1093,"Score","JazzTube","g"
"343","Pat Metheny","Cabin Fever","g","Postbop","1996","308.1",450,"Score","JazzTube","g"
"344","Pat Metheny","Midnight Voyage","g","Postbop","1996","127.7",415,"Score","JazzTube","g"
"345","Pat Metheny","Nothing Personal","g","Postbop","1987","242.1",416,"Score","JazzTube","g"
"346","Paul Desmond","Alianca","as","Cool","1964","232.7",203,"Score","JazzTube","as"
"347","Paul Desmond","Alianca (2)","as","Cool","1964","235.9",102,"Score","JazzTube","as"
"348","Paul Desmond","Alone Together","as","Cool","1963","199.9",577,"Score","JazzTube","as"
"349","Paul Desmond","Blue Rondo a la Turk","as","Cool","1959","117.1",343,"Score","JazzTube","as"
"350","Paul Desmond","Bossa Antigua","as","Cool","1964","191.6",253,"Score","JazzTube","as"
"351","Paul Desmond","Samba Cantina","as","Cool","1964","150.8",292,"Score","JazzTube","as"
"352","Paul Desmond","Samba Cantina (2)","as","Cool","1964","152.7",127,"Score","JazzTube","as"
"353","Paul Desmond","The Girl from East 9th Street","as","Cool","1964","142.1",272,"Score","JazzTube","as"
"354","Pepper Adams","A Night in Tunisia","bs","Hardbop","1957","127.7",863,"Score","JazzTube","bs"
"355","Pepper Adams","Early Morning Mood","bs","Hardbop","1958","59.8",366,"Score","JazzTube","bs"
"356","Pepper Adams","How High the Moon","bs","Hardbop","1958","115.7",196,"Score","JazzTube","bs"
"357","Pepper Adams","Just One of Those Things","bs","Hardbop","1957","314.0",778,"Score","JazzTube","bs"
"358","Pepper Adams","You’d Be So Nice to Come Home to","bs","Hardbop","1958","88.6",140,"Score","JazzTube","bs"
"359","Phil Woods","Be My Love","as","Bebop","1955","218.0",712,"Score","JazzTube","as"
"360","Phil Woods","Cotton Tail","as","Bebop","1961","241.5",200,"Score","JazzTube","as"
"361","Phil Woods","Crazy Rhythm","as","Bebop","1961","236.2",183,"Score","JazzTube","as"
"362","Phil Woods","Honeysuckle Rose","as","Bebop","1961","233.3",239,"Score","JazzTube","as"
"363","Phil Woods","On a Slow Boat to China","as","Bebop","1955","242.6",847,"Score","JazzTube","as"
"364","Phil Woods","Strollin’ with Pam","as","Bebop","1955","138.9",621,"Score","JazzTube","as"
"365","Red Garland","Oleo","p","Hardbop","1956","264.9",380,"Score","JazzTube","p"
"366","Rex Stewart","Perdido","cor","Swing","1950","177.8",277,"Score","JazzTube","cor"
"367","Roy Eldridge","Body and Soul","tp","Swing","1938","107.0",313,"Score","JazzTube","tp"
"368","Roy Eldridge","King David","tp","Swing","1950","149.8",115,"Score","JazzTube","tp"
"369","Roy Eldridge","St. Louis Blues","tp","Swing","1944","361.3",275,"Score","JazzTube","tp"
"370","Roy Eldridge","The Gasser","tp","Swing","1943","231.3",418,"Score","JazzTube","tp"
"371","Roy Eldridge","The Gasser (2)","tp","Swing","1943","237.7",305,"Score","JazzTube","tp"
"372","Roy Eldridge","Undecided","tp","Swing","1950","243.6",322,"Score","JazzTube","tp"
"373","Sidney Bechet","Baby Won’t You Please Come Home","ss","Traditional","1941","207.0",100,"Score","JazzTube","ss"
"374","Sidney Bechet","I’m Coming Virginia","ss","Traditional","1941","192.8",105,"Score","JazzTube","ss"
"375","Sidney Bechet","Limehouse Blues","ss","Traditional","1941","273.6",231,"Score","JazzTube","ss"
"376","Sidney Bechet","Really the Blues","ss","Traditional","1938","70.6",254,"Score","JazzTube","ss"
"377","Sidney Bechet","Summertime","ss","Traditional","1938","84.2",388,"Score","JazzTube","ss"
"378","Sonny Rollins","Airegin","ts","Hardbop","1954","242.6",552,"Score","JazzTube","ts"
"379","Sonny Rollins","Blue Seven","ts","Hardbop","1956","134.6",353,"Score","JazzTube","ts"
"380","Sonny Rollins","Blue Seven (2)","ts","Hardbop","1956","137.6",135,"Score","JazzTube","ts"
"381","Sonny Rollins","Blue Seven (3)","ts","Hardbop","1956","133.3",178,"Score","JazzTube","ts"
"382","Sonny Rollins","I’ll Remember April (Alternate Take  2)","ts","Hardbop","1956","294.0",461,"Score","JazzTube","ts"
"383","Sonny Rollins","Playin’ in the Yard","ts","Fusion","1972","155.2",266,"Score","JazzTube","ts"
"384","Sonny Rollins","Playin’ in the Yard (2)","ts","Fusion","1972","159.4",164,"Score","JazzTube","ts"
"385","Sonny Rollins","St. Thomas","ts","Hardbop","1956","207.0",435,"Score","JazzTube","ts"
"386","Sonny Rollins","St. Thomas (2)","ts","Hardbop","1956","224.1",366,"Score","JazzTube","ts"
"387","Sonny Rollins","Tenor Madness","ts","Hardbop","1956","175.6",507,"Score","JazzTube","ts"
"388","Sonny Rollins","The Everywhere Calypso","ts","Postbop","1972","192.6",601,"Score","JazzTube","ts"
"389","Sonny Rollins","The Everywhere Calypso (2)","ts","Postbop","1972","197.2",949,"Score","JazzTube","ts"
"390","Sonny Rollins","Vierd Blues","ts","Hardbop","1956","114.4",432,"Score","JazzTube","ts"
"391","Sonny Stitt","Blue Mode","ts","Bebop","1949","60.7",353,"Score","JazzTube","ts"
"392","Sonny Stitt","Blues in Be-Bop","as","Bebop","1946","185.8",127,"Score","JazzTube","as"
"393","Sonny Stitt","Body and Soul","as","Bebop","1948","67.7",469,"Score","JazzTube","as"
"394","Sonny Stitt","Elora","ts","Bebop","1949","192.7",226,"Score","JazzTube","ts"
"395","Sonny Stitt","Good Kick","as","Bebop","1946","173.4",235,"Score","JazzTube","as"
"396","Sonny Stitt","Teapot","ts","Bebop","1949","167.9",349,"Score","JazzTube","ts"
"397","Stan Getz","Blues in the Closet","ts","Cool","1957","242.5",905,"Score","JazzTube","ts"
"398","Stan Getz","Body and Soul","ts","Cool","1964","63.4",571,"Score","JazzTube","ts"
"399","Stan Getz","Crazy Rhythm","ts","Cool","1957","287.9",1233,"Score","JazzTube","ts"
"400","Stan Getz","I’m Glad There Is You","ts","Cool","1957","67.0",187,"Score","JazzTube","ts"
"401","Stan Getz","Insensatez","ts","Cool","1963","128.2",155,"Score","JazzTube","ts"
"402","Stan Getz","My Funny Valentine","ts","Cool","1957","130.7",654,"Score","JazzTube","ts"
"403","Steve Coleman","Cross-Fade","as","Fusion","1990","144.8",129,"Score","JazzTube","as"
"404","Steve Coleman","Cross-Fade (2)","as","Fusion","1990","145.9",78,"Score","JazzTube","as"
"405","Steve Coleman","Double Vision","ss","Postbop","1985","242.2",979,"Score","JazzTube","ss"
"406","Steve Coleman","Pass It On","as","Fusion","1991","104.9",325,"Score","JazzTube","as"
"407","Steve Coleman","Processional","as","Postbop","1989","103.9",477,"Score","JazzTube","as"
"408","Steve Coleman","Segment","as","Postbop","1988","240.0",983,"Score","JazzTube","as"
"409","Steve Coleman","Slipped again","as","Postbop","1991","131.6",262,"Score","JazzTube","as"
"410","Steve Coleman","Take the Coltrane","as","Postbop","1988","240.0",1004,"Score","JazzTube","as"
"411","Steve Coleman","The Oracle","as","Postbop","1989","97.7",551,"Score","JazzTube","as"
"412","Steve Coleman","The Oracle (2)","as","Postbop","1989","104.0",764,"Score","JazzTube","as"
"413","Steve Lacy","Alone Together","ss","Hardbop","1957","134.9",204,"Score","JazzTube","ss"
"414","Steve Lacy","Ask Me Now","ss","Hardbop","1958","85.4",189,"Score","JazzTube","ss"
"415","Steve Lacy","Easy to Love","ss","Hardbop","1957","166.3",697,"Score","JazzTube","ss"
"416","Steve Lacy","Let’s Cool One","ss","Hardbop","1961","132.2",352,"Score","JazzTube","ss"
"417","Steve Lacy","Skippy","ss","Hardbop","1958","266.8",582,"Score","JazzTube","ss"
"418","Steve Lacy","Work","ss","Hardbop","1957","165.9",308,"Score","JazzTube","ss"
"419","Steve Turre","Dat Dere","tb","Postbop","1987","116.0",520,"Score","JazzTube","tb"
"420","Steve Turre","If I Were a Bell","tb","Postbop","1987","257.1",307,"Score","JazzTube","tb"
"421","Steve Turre","Steve’s Blues","tb","Postbop","1987","204.3",269,"Score","JazzTube","tb"
"422","Von Freeman","Pass It On","ts","Fusion","1991","105.9",461,"Score","JazzTube","ts"
"423","Warne Marsh","Crosscurrent","ts","Cool","1949","258.2",196,"Score","JazzTube","ts"
"424","Warne Marsh","Tautology","ts","Cool","1949","269.9",370,"Score","JazzTube","ts"
"425","Warne Marsh","Wow","ts","Cool","1949","175.1",109,"Score","JazzTube","ts"
"426","Wayne Shorter","Adam’s Apple","ts","Postbop","1966","174.4",351,"Score","JazzTube","ts"
"427","Wayne Shorter","Dolores","ts","Postbop","1966","277.4",418,"Score","JazzTube","ts"
"428","Wayne Shorter","Down Under","ts","Hardbop","1961","147.1",273,"Score","JazzTube","ts"
"429","Wayne Shorter","E.S.P.","ts","Postbop","1964","284.5",360,"Score","JazzTube","ts"
"430","Wayne Shorter","Eighty-One","ts","Postbop","1964","138.4",375,"Score","JazzTube","ts"
"431","Wayne Shorter","Footprints","ts","Postbop","1966","136.1",440,"Score","JazzTube","ts"
"432","Wayne Shorter","Infant Eyes","ts","Postbop","1964","51.3",157,"Score","JazzTube","ts"
"433","Wayne Shorter","Juju","ts","Postbop","1964","178.2",730,"Score","JazzTube","ts"
"434","Wayne Shorter","Orbits","ts","Postbop","1966","267.1",259,"Score","JazzTube","ts"
"435","Wayne Shorter","Speak No Evil","ts","Postbop","1964","142.7",452,"Score","JazzTube","ts"
"436","Woody Shaw","Dat Dere","tp","Postbop","1987","114.7",406,"Score","JazzTube","tp"
"437","Woody Shaw","If I Were a Bell","tp","Postbop","1987","252.3",306,"Score","JazzTube","tp"
"438","Woody Shaw","Imagination","tp","Postbop","1987","60.1",349,"Score","JazzTube","tp"
"439","Woody Shaw","In a Capricornian Way","cor","Postbop","1978","171.8",864,"Score","JazzTube","cor"
"440","Woody Shaw","Rahsaan’s Run","tp","Postbop","1977","297.8",347,"Score","JazzTube","tp"
"441","Woody Shaw","Rosewood","tp","Postbop","1977","171.7",465,"Score","JazzTube","tp"
"442","Woody Shaw","Stepping Stone","cor","Postbop","1978","266.2",160,"Score","JazzTube","cor"
"443","Woody Shaw","Steve’s Blues","tp","Postbop","1987","205.5",296,"Score","JazzTube","tp"
"444","Wynton Marsalis","April in Paris","tp","Postbop","1986","153.7",495,"Score","JazzTube","tp"
"445","Wynton Marsalis","Caravan","tp","Postbop","1986","196.6",526,"Score","JazzTube","tp"
"446","Wynton Marsalis","Cherokee","tp","Postbop","1986","338.0",679,"Score","JazzTube","tp"
"447","Wynton Marsalis","Cherokee II","tp","Postbop","1986","340.3",655,"Score","JazzTube","tp"
"448","Wynton Marsalis","Johnny Come Lately","tp","Postbop","1991","245.4",292,"Score","JazzTube","tp"
"449","Wynton Marsalis","U.M.M.G.","tp","Postbop","1991","221.3",261,"Score","JazzTube","tp"
"450","Wynton Marsalis","You’re My Everything","tp","Postbop","1990","137.6",162,"Score","JazzTube","tp"
"451","Zoot Sims","All the Things You Are","ts","Cool","1950","192.2",176,"Score","JazzTube","ts"
"452","Zoot Sims","Dancing in the Dark","ts","Cool","1950","124.7",110,"Score","JazzTube","ts"
"453","Zoot Sims","Dancing in the Dark (2)","ts","Cool","1950","122.1",169,"Score","JazzTube","ts"
"454","Zoot Sims","King David","ts","Cool","1950","151.1",103,"Score","JazzTube","ts"
"455","Zoot Sims","Night and Day","ts","Cool","1950","216.7",359,"Score","JazzTube","ts"
"456","Zoot Sims","Night and Day (2)","ts","Cool","1950","217.6",219,"Score","JazzTube","ts"
